voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_710,marinadeStake_711,stakeChange,stakeChangeAbs
9mB171rzHzYFJTSoLBEDTX4ZvzzyWW2mtBBJovy1qD2E,41.0,144312.994,0.015,0.31,11.942,12.106,0.164,0.164
DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao,3.0,172136.828,0.011,0.5,6.564,6.633,0.069,0.069
5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,45.0,219553.68,0.005,0.294,3.681,3.732,0.052,0.052
SUN1nYpPJVjd3gKnDACdaUVL53LJaXR9u8e9i1jkZ3a,81.0,69239.746,0.002,0.15,2.433,2.474,0.041,0.041
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,73.0,97618.788,0.002,0.16,2.375,2.415,0.04,0.04
21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB,8.0,210457.678,0.005,0.42,3.246,3.281,0.034,0.034
eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym,48.0,215747.278,0.002,0.3,1.844,1.867,0.023,0.023
3pBPy27F1Wz3iVydZnGkdvefStrFm8UMCDakYZii8AUZ,95.0,186017.388,107.266,0.123,12000.0,12000.0,0.0,0.0
GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy,68.0,26101.663,131.578,0.18,100000.0,100000.0,0.0,0.0
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,69.0,214446.818,141.555,0.17,10000.0,10000.0,0.0,0.0
8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,70.0,204860.896,87.057,0.161,30000.0,30000.0,0.0,0.0
Gvt8s5Bwnhg4G27VbnT1Zkfh7Jsztq6CNvZcc5anPonS,71.0,36447.081,0.0,0.18,0.0,0.0,0.0,0.0
DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,77.0,303040.931,81.092,0.15,80000.0,80000.0,0.0,0.0
CaraHZBReeNNYAJ326DFsvy41M2p1KWTEoBAwBL6bmWZ,77.0,193821.598,98.424,0.15,100000.0,100000.0,0.0,0.0
DPhzpiNGU9C6576uLsNSHmdi2AxwxpjMsRdh2iVC4TPh,81.0,171879.325,0.0,0.15,0.0,0.0,0.0,0.0
8wEfU2LDRFTJf57fv1FutTkp8LEW7cR2m5L7ZNNXXMCT,82.0,3778.593,53.402,0.135,50000.0,50000.0,0.0,0.0
H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo,77.0,313241.627,85.397,0.15,90000.0,90000.0,0.0,0.0
2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,77.0,314455.633,85.821,0.15,90000.0,90000.0,0.0,0.0
5HScvYkTWL9iojhPv26xK7GqB7oBsj9A2qHCeNRFmdyG,94.0,195171.47,102.966,0.135,70000.0,70000.0,0.0,0.0
725My2yzg5ZUpQtpEtivLT7JmRes2gGxF3KeGCbYACDe,99.0,187538.956,121.519,0.135,100000.0,100000.0,0.0,0.0
FdGcvmbpebUwYA3vSywnagsaC3Tq3pAVmcR6VoxVcdV9,1.0,175467.338,10.366,100000.0,0.052,0.052,0.0,0.0
GxMWXbj3xLVf9bK4rspJ3yjg7cmaLhZX6325brY8J1wi,66.0,186393.081,105.295,0.183,12000.0,12000.0,0.0,0.0
EtkzFbZak1QuZUTK6woX41dhjtguoeQsh9Xh1VRVNeGv,34.0,24440.76,50.027,0.36,10000.0,10000.0,0.0,0.0
3tjGkvUsNEk8UBUQECCTpeAoo6NovHvEG44MZDPCcZko,34.0,27413.842,34.837,0.36,10000.0,10000.0,0.0,0.0
HMLfMHdETcGSqPGAr38rSiwewsSZvLPMMPALc5pggtiW,33.0,29518.733,33.824,0.361,20000.0,20000.0,0.0,0.0
BBGumW2W9u8NEpkKeK4Gq1dCL2dUzAcLVPoPFYHwHHjm,32.0,228495.619,66.033,0.341,10370.0,10370.0,0.0,0.0
8ztfVJM7Yf7CMXqTGMGBkXmTkGCiJTgVfh1CYDZZND5b,31.0,2308.469,49.593,0.36,10000.0,10000.0,0.0,0.0
HU4xMHgk192zcjHgyPQ3ZbuNx5Wycg89pFDbeuCKBV3B,29.0,35448.23,92.376,0.37,30000.0,30000.0,0.0,0.0
BtUD8v5vEXJ8CSUo2qQq4vqQxKSiLKUp1bxeeGLJsPXM,28.0,20499.584,50.112,0.35,10000.0,10000.0,0.0,0.0
FxQLh2b8JnBFwPw325tix5x6BEJ7ibmqz2LyKLZWiGAX,28.0,27759.099,39.746,0.35,20000.0,20000.0,0.0,0.0
GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi,28.0,227075.46,64.352,0.35,12288.0,12288.0,0.0,0.0
GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9,28.0,232258.51,51.106,0.35,25000.0,25000.0,0.0,0.0
9V3mbi8z9MHicFQN9n9CGEMfuX4yKaBjJNuzyTUxaWXi,26.0,39712.563,75.413,0.35,50000.0,50000.0,0.0,0.0
GstRMuD8ZU61k7x33rSsp2J84S8bQMjK17pmJyXCdh7b,22.0,30370.529,49.555,0.38,10000.0,10000.0,0.0,0.0
5csconnhG1Z2JBGoACCiFyrhCg31pAecXa3ugymbyMw5,22.0,35204.905,49.513,0.38,30000.0,30000.0,0.0,0.0
5mSBnz3zNSVzXQHxBmrTLESynukH2JHVcCN14GHtVsWD,17.0,242062.401,69.402,0.4,35000.0,35000.0,0.0,0.0
yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,15.0,287238.732,108.948,0.37,70000.0,70000.0,0.0,0.0
8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf,11.0,216031.618,137.933,0.38,85000.0,85000.0,0.0,0.0
Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH,9.0,288336.475,121.416,0.399,80000.0,80000.0,0.0,0.0
7wqiBhRVEkbV3A8LbR9W1eNb5s27CBwoRCVro1okB6ew,4.0,44135.863,0.0,0.51,0.0,0.0,0.0,0.0
Anv7J9kMdJWr1aU6rQvQyd24zBp5GscP8NeDpRqGKz8e,34.0,27272.78,110.605,0.36,10000.0,10000.0,0.0,0.0
