voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_711,marinadeStake_712,stakeChange,stakeChangeAbs
BtUD8v5vEXJ8CSUo2qQq4vqQxKSiLKUp1bxeeGLJsPXM,25.0,23760.064,50.133,0.35,10000.0,10000.0,0.0,0.0
FxQLh2b8JnBFwPw325tix5x6BEJ7ibmqz2LyKLZWiGAX,25.0,28269.561,39.763,0.35,20000.0,20000.0,0.0,0.0
GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9,25.0,243164.845,51.128,0.35,25000.0,25000.0,0.0,0.0
ESaLvDNR7FVdf4sR1edjAGN678ts24s8VGirvPq9q7H3,31.0,15179.5,49.618,0.36,10000.0,10000.0,0.0,0.0
9V3mbi8z9MHicFQN9n9CGEMfuX4yKaBjJNuzyTUxaWXi,23.0,44317.378,75.443,0.35,50000.0,50000.0,0.0,0.0
GstRMuD8ZU61k7x33rSsp2J84S8bQMjK17pmJyXCdh7b,21.0,31269.465,49.575,0.38,10000.0,10000.0,0.0,0.0
5csconnhG1Z2JBGoACCiFyrhCg31pAecXa3ugymbyMw5,21.0,38981.98,49.532,0.38,30000.0,30000.0,0.0,0.0
yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi,16.0,290498.765,108.995,0.37,70000.0,70000.0,0.0,0.0
5mSBnz3zNSVzXQHxBmrTLESynukH2JHVcCN14GHtVsWD,14.0,244046.846,69.43,0.4,35000.0,35000.0,0.0,0.0
8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf,10.0,277528.364,137.992,0.38,85000.0,85000.0,0.0,0.0
Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH,9.0,289184.315,121.468,0.399,80000.0,80000.0,0.0,0.0
7wqiBhRVEkbV3A8LbR9W1eNb5s27CBwoRCVro1okB6ew,3.0,39970.386,0.0,0.51,0.0,0.0,0.0,0.0
EtkzFbZak1QuZUTK6woX41dhjtguoeQsh9Xh1VRVNeGv,31.0,26468.558,50.046,0.36,10000.0,10000.0,0.0,0.0
AnodeNCzJGQ7QwheFqJr6EknKGa72m6XHiLtDQiXcmEc,34.0,227179.337,66.399,0.335,10250.0,10250.0,0.0,0.0
8ZvTbWfA7txjkNubA9jnv8CWQtwbaZSzpf7vaDDcxMr5,64.0,5185.368,55.025,0.17,10000.0,10000.0,0.0,0.0
BNYVMkawH7ekKdbZ7NHqd7duLVc6QLATHYf5aqMkwjec,52.0,25236.743,101.536,0.23,0.0,0.0,0.0,0.0
GxMWXbj3xLVf9bK4rspJ3yjg7cmaLhZX6325brY8J1wi,63.0,186553.336,105.338,0.183,12000.0,12000.0,0.0,0.0
BXf5pMTSWJdfwaiRYpwJjkTUuUe2sdvcJx7X7UNbyGe1,60.0,70460.198,0.0,0.221,0.0,0.0,0.0,0.0
FVhMWs3bbayWpUqDAbWUPH813gzFzJEo8fzhLhhkGstp,59.0,252010.158,172.082,0.2,150000.0,150000.0,0.0,0.0
BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,58.0,301788.131,0.0,0.22,0.0,0.0,0.0,0.0
GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT,57.0,260702.448,34.325,0.21,20000.0,20000.0,0.0,0.0
3dXXxEaV4fZqw1PL7VezfDkiJV5W4WTtRjh2EHgKSthF,56.0,32762.527,10.234,0.249,0.0,0.0,0.0,0.0
HC1NSDR9cbBeQ8V1XJ62VNceUAbjGdnCcH7f5wVFVZw3,55.0,74884.328,0.0,0.23,0.0,0.0,0.0,0.0
9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,53.0,79916.97,0.0,0.23,0.0,0.0,0.0,0.0
8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,50.0,22489.932,122.261,0.25,97000.0,97000.0,0.0,0.0
